Influencer Handle,Followers,Genre,Bio,Post URL,Post Time,Content Type,Title (Caption),Total Likes,comments_counts
@user1,761686,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/11,2025-05-31T15:25:00Z,video,Keyboard shortcuts that save hours,15377,10
@user1,761686,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/12,2025-05-31T15:25:00Z,reel,Unboxing the latest iPhone 📦,2259,2434
@user1,761686,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/13,2025-05-31T15:25:00Z,video,Tech gadgets under $50,12130,10
@user1,761686,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/14,2025-05-31T15:25:00Z,post,5 AI tools to boost productivity,11605,10
@user1,761686,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/15,2025-05-31T15:25:00Z,video,Tech gadgets under $50,5665,10
@user2,802006,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/21,2025-05-31T15:25:00Z,video,Unboxing the latest iPhone 📦,2481,10
@user2,802006,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/22,2025-05-31T15:25:00Z,video,Unboxing the latest iPhone 📦,19374,234
@user2,802006,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/23,2025-05-31T15:25:00Z,post,5 AI tools to boost productivity,10460,10
@user2,802006,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/24,2025-05-31T15:25:00Z,post,Tech gadgets under $50,2556,10
@user2,802006,Technology,"Tech reviews, gadgets, and productivity hacks.",https://instagram.com/p/25,2025-05-31T15:25:00Z,reel,Keyboard shortcuts that save hours,3168,10
@user3,786616,Gaming,"Streaming highlights, game reviews & epic fails 🎮",https://instagram.com/p/31,2025-05-31T15:25:00Z,reel,New game release review 🎮,2245,10
@user3,786616,Gaming,"Streaming highlights, game reviews & epic fails 🎮",https://instagram.com/p/32,2025-05-31T15:25:00Z,video,VR gaming setup tour 🥽,16651,10
